Z	element	BBN	CR	SNe	WD	s-proc	r-proc
1	H	1	0	0	0	0	0
2	He	1	0	0	0	0	0
3	Li	0	0	0	0	0	0
4	Be	0	0	0	0	0	0
5	B	0	0	0	0	0	0
6	C	0	0	0	0	0	0
7	N	0	0	0	0	0	0
8	O	0	0	0	0	0	0
9	F	0	0	0	0	0	0
10	Ne	0	0	0	0	0	0
11	Na	0	0	0	0	0	0
12	Mg	0	0	0	0	0	0
13	Al	0	0	0	0	0	0
14	Si	0	0	0	0	0	0
15	P	0	0	0	0	0	0
16	S	0	0	0	0	0	0
17	Cl	0	0	0	0	0	0
18	Ar	0	0	0	0	0	0
19	K	0	0	0	0	0	0
20	Ca	0	0	0	0	0	0
21	Sc	0	0	0	0	0	0
22	Ti	0	0	0	0	0	0
23	V	0	0	0	0	0	0
24	Cr	0	0	0	0	0	0
25	Mn	0	0	0	0	0	0
26	Fe	0	0	0	0	0	0
27	Co	0	0	0	0	0	0
28	Ni	0	0	0	0	0	0
29	Cu	0	0	0	0	0	0
30	Zn	0	0	0	0	0	0
31	Ga	0	0	0	0	0	0
32	Ge	0	0	0	0	0	0
33	As	0	0	0	0	0	0
34	Se	0	0	0	0	0	0
35	Br	0	0	0	0	0	0
36	Kr	0	0	0	0	0	0
37	Rb	0	0	0	0	0	0
38	Sr	0	0	0	0	0	0
39	Y	0	0	0	0	0	0
40	Zr	0	0	0	0	0	0
41	Nb	0	0	0	0	0	0
42	Mo	0	0	0	0	0	0
43	Tc	0	0	0	0	0	0
44	Ru	0	0	0	0	0	0
45	Rh	0	0	0	0	0	0
46	Pd	0	0	0	0	0	0
47	Ag	0	0	0	0	0	0
48	Cd	0	0	0	0	0	0
49	In	0	0	0	0	0	0
50	Sn	0	0	0	0	0	0
51	Sb	0	0	0	0	0	0
52	Te	0	0	0	0	0	0
53	I	0	0	0	0	0	0
54	Xe	0	0	0	0	0	0
55	Cs	0	0	0	0	0	0
56	Ba	0	0	0	0	0	0
57	La	0	0	0	0	0	0
58	Ce	0	0	0	0	0	0
59	Pr	0	0	0	0	0	0
60	Nd	0	0	0	0	0	0
61	Pm	0	0	0	0	0	0
62	Sm	0	0	0	0	0	0
63	Eu	0	0	0	0	0	0
64	Gd	0	0	0	0	0	0
65	Tb	0	0	0	0	0	0
66	Dy	0	0	0	0	0	0
67	Ho	0	0	0	0	0	0
68	Er	0	0	0	0	0	0
69	Tm	0	0	0	0	0	0
70	Yb	0	0	0	0	0	0
71	Lu	0	0	0	0	0	0
72	Hf	0	0	0	0	0	0
73	Ta	0	0	0	0	0	0
74	W	0	0	0	0	0	0
75	Re	0	0	0	0	0	0
76	Os	0	0	0	0	0	0
77	Ir	0	0	0	0	0	0
78	Pt	0	0	0	0	0	0
79	Au	0	0	0	0	0	0
80	Hg	0	0	0	0	0	0
81	Tl	0	0	0	0	0	0
82	Pb	0	0	0	0	0	0
83	Bi	0	0	0	0	0	0
84	Po	0	0	0	0	0	0
85	At	0	0	0	0	0	0
86	Rn	0	0	0	0	0	0
87	Fr	0	0	0	0	0	0
88	Ra	0	0	0	0	0	0
89	Ac	0	0	0	0	0	0
90	Th	0	0	0	0	0	0
91	Pa	0	0	0	0	0	0
92	U	0	0	0	0	0	0
93	Np	0	0	0	0	0	0
94	Pu	0	0	0	0	0	0
95	Am	0	0	0	0	0	0
96	Cm	0	0	0	0	0	0
97	Bk	0	0	0	0	0	0
98	Cf	0	0	0	0	0	0
99	Es	0	0	0	0	0	0
100	Fm	0	0	0	0	0	0
101	Md	0	0	0	0	0	0
102	No	0	0	0	0	0	0
103	Lr	0	0	0	0	0	0
104	Rf	0	0	0	0	0	0
105	Db	0	0	0	0	0	0
106	Sg	0	0	0	0	0	0
107	Bh	0	0	0	0	0	0
108	Hs	0	0	0	0	0	0
109	Mt	0	0	0	0	0	0
110	Ds	0	0	0	0	0	0
111	Rg	0	0	0	0	0	0
112	Cn	0	0	0	0	0	0
113	Nh	0	0	0	0	0	0
114	Fl	0	0	0	0	0	0
115	Mc	0	0	0	0	0	0
116	Lv	0	0	0	0	0	0
117	Ts	0	0	0	0	0	0
118	Og	0	0	0	0	0	0
