Z	A	Standard	Min	Max
31	69	6.1800	0.0000	9.3700
30	70	7.7400	6.8000	8.5500
31	71	1.9600	0.0000	9.6100
32	72	0.0000	0.0000	9.9300
32	73	6.3100	0.0000	8.1900
32	74	19.700	9.9400	28.900
33	75	3.7800	3.2400	4.6800
32	76	8.7800	7.8400	9.6800
34	77	3.7600	3.4800	4.6500
34	78	0.0000	0.0000	10.300
35	79	4.8100	0.9180	5.7100
34	80	28.100	24.800	32.200
35	81	4.0700	3.0400	4.8700
34	82	6.2000	5.8300	6.5100
36	83	4.3800	3.0500	5.6800
36	84	23.600	14.200	34.500
37	85	2.8700	1.0500	4.0100
36	86	0.0000	0.0000	0.5870
37	87	0.2920	0.0000	1.0100
38	88	4.0900	0.0000	4.7500
39	89	1.1100	0.0000	1.8100
40	90	2.6100	1.2600	3.0100
40	91	0.2100	0.0000	0.4840
40	92	0.0620	0.0000	0.4370
41	93	0.0987	0.0000	0.2700
40	94	0.0000	0.0000	0.0602
42	95	0.1400	0.0976	0.2260
40	96	0.0000	0.0000	0.0250
42	97	0.0808	0.0496	0.1120
42	98	0.0739	0.0000	0.1530
44	99	0.1730	0.1460	0.2000
42	100	0.2260	0.2100	0.2500
44	101	0.2670	0.2300	0.3050
44	102	0.3150	0.2440	0.4260
45	103	0.2970	0.2090	0.3750
44	104	0.3370	0.2980	0.3830
46	105	0.2660	0.2240	0.3030
46	106	0.1710	0.1130	0.2280
47	107	0.2110	0.1780	0.2440
46	108	0.1190	0.0660	0.1930
47	109	0.1720	0.1310	0.2070
46	110	0.1560	0.1360	0.1740
48	111	0.1520	0.1270	0.1790
48	112	0.1760	0.0921	0.2500
48	113	0.1240	0.0916	0.1550
48	114	0.1720	0.0515	0.2910
49	115	0.1110	0.0816	0.1360
48	116	0.0955	0.0697	0.1270
50	117	0.1500	0.1030	0.1930
50	118	0.2440	0.1510	0.3750
50	119	0.1840	0.1150	0.2470
50	120	0.2140	0.0634	0.4120
51	121	0.0836	0.0578	0.1130
50	122	0.1520	0.0000	0.1800
51	123	0.1130	0.0925	0.1310
50	124	0.2200	0.1950	0.2420
52	125	0.2560	0.2170	0.2950
52	126	0.4920	0.3810	0.6010
53	127	0.8480	0.6630	1.0300
52	128	1.4700	1.2900	1.6200
54	129	1.0800	0.8510	1.3100
52	130	1.5800	1.4200	1.7400
54	131	0.8220	0.6270	1.0100
54	132	0.6530	0.3890	0.9260
55	133	0.3090	0.2830	0.3410
54	134	0.3850	0.2310	0.4770
56	135	0.2480	0.0000	0.2720
54	136	0.3300	0.2600	0.3960
56	137	0.1700	0.0000	0.2960
56	138	0.2140	0.0000	1.0000
57	139	0.1570	0.0183	0.2480
58	140	0.1610	0.0000	0.3570
59	141	0.1100	0.0545	0.1360
58	142	0.0660	0.0000	0.1310
60	143	0.0706	0.0526	0.0811
60	144	0.0998	0.0582	0.1240
60	145	0.0540	0.0456	0.0611
60	146	0.0533	0.0145	0.0711
62	147	0.0334	0.0156	0.0347
60	148	0.0421	0.0221	0.0522
62	149	0.0323	0.0278	0.0328
60	150	0.0490	0.0459	0.0515
63	151	0.0452	0.0267	0.0482
62	152	0.0571	0.0498	0.0622
63	153	0.0495	0.0460	0.0526
62	154	0.0595	0.0505	0.0609
64	155	0.0468	0.0364	0.0500
64	156	0.0579	0.0501	0.0634
64	157	0.0471	0.0429	0.0508
64	158	0.0614	0.0497	0.0694
65	159	0.0601	0.0517	0.0672
64	160	0.0741	0.0655	0.0787
66	161	0.0741	0.0684	0.0745
66	162	0.0900	0.0795	0.0917
66	163	0.0972	0.0890	0.0980
66	164	0.1030	0.0827	0.1040
67	165	0.0839	0.0728	0.0941
68	166	0.0753	0.0691	0.0833
68	167	0.0546	0.0495	0.0586
68	168	0.0506	0.0420	0.0570
69	169	0.0340	0.0250	0.0391
68	170	0.0369	0.0283	0.0407
70	171	0.0297	0.0107	0.0326
70	172	0.0381	0.0323	0.0432
70	173	0.0316	0.0266	0.0353
70	174	0.0391	0.0229	0.0515
71	175	0.0305	0.0156	0.0374
70	176	0.0292	0.0177	0.0334
72	177	0.0238	0.0186	0.0263
72	178	0.0192	0.0100	0.0236
72	179	0.0138	0.0109	0.0160
72	180	0.0145	0.0000	0.0214
73	181	0.0106	0.0042	0.0144
74	182	0.0136	0.0000	0.0215
74	183	0.0065	0.0000	0.0100
74	184	0.0106	0.0000	0.0179
75	185	0.0151	0.0110	0.0176
74	186	0.0245	0.0073	0.0337
75	187	0.0318	0.0270	0.0359
76	188	0.0708	0.0633	0.0781
76	189	0.1030	0.0961	0.1090
76	190	0.1520	0.1370	0.1680
77	191	0.2290	0.2210	0.2370
76	192	0.2730	0.2520	0.2890
77	193	0.3880	0.3740	0.4020
78	194	0.4210	0.3620	0.4700
78	195	0.4450	0.3940	0.4930
78	196	0.3020	0.2560	0.3470
79	197	0.1910	0.1790	0.2040
78	198	0.0950	0.0805	0.1050
80	199	0.0507	0.0357	0.0682
80	200	0.0334	0.0061	0.0640
80	201	0.0265	0.0111	0.0426
80	202	0.0257	0.0000	0.0677
81	203	0.0033	0.0000	0.0271
80	204	0.0266	0.0171	0.0330
81	205	0.0497	0.0000	0.1150
82	206	0.1970	0.0364	0.3790
82	207	0.1420	0.0000	0.4330
82	208	0.0003	0.0000	1.7800
83	209	0.0501	0.0100	0.1640 
