H	12	0	2.431xx10^{10}
Ge	3.70	0.05	120.6
Sm	1.02	0.04	0.2542
He	10.984	0.02	2.343xx10^{9}
As	2.40	0.05	6.089
Li	3.35	0.06	55.47
Se	3.43	0.04	65.79
Eu	0.60	0.04	0.09513
Be	1.48	0.08	0.7374
Br	2.67	0.09	11.32
Gd	1.13	0.02	0.3321
B	2.85	0.04	17.32
Kr	3.36	0.08	55.15
Tb	0.38	0.03	0.05907
C	8.46	0.04	7.079xx10^{6}
Rb	2.43	0.06	6.572
Dy	1.21	0.04	0.3862
N	7.90	0.11	1.950xx10^{6}
Ho	0.56	0.02	0.08986
O	8.76	0.05	1.413xx10^{7}
Sr	2.99	0.04	23.64
Er	1.02	0.03	0.2554
F	4.53	0.06	841.1
Tm	0.18	0.06	0.03700
Ne	7.95	0.10	2.148xx10^{6}
Y	2.28	0.03	4.608
Yb	1.01	0.03	0.2484
Na	6.37	0.03	5.751xx10^{4}
Zr	2.67	0.03	11.33
Lu	0.16	0.06	0.03572
Mg	7.62	0.02	1.020xx10^{6}
Nb	1.49	0.03	0.7554
Al	6.54	0.02	8.410xx10^{4}
Mo	2.03	0.04	2.601
Hf	0.84	0.04	0.1699
Si	7.61	0.02	1.00xx10^{6}
Ru	1.89	0.08	1.900
P	5.54	0.04	8373
Rh	1.18	0.03	0.3708
Ta	-0.06	0.03	0.02099
S	7.26	0.04	4.449xx10^{5}
Pd	1.77	0.03	1.435
W	0.72	0.03	0.1277
Cl	5.33	0.06	5237
Ag	1.30	0.06	0.4913
Re	0.33	0.04	0.05254
Ar	6.62	0.08	1.025xx10^{5}
Cd	1.81	0.03	1.584
K	5.18	0.05	3692
In	0.87	0.03	0.1810
Os	1.44	0.03	0.6738
Sn	2.19	0.04	3.733
Ca	6.41	0.03	6.287xx10^{4}
Sb	1.14	0.07	0.3292
Ir	1.42	0.03	0.6448
Sc	3.15	0.04	34.20
Te	2.30	0.04	4.815
Pt	1.75	0.03	1.357
Ti	5.00	0.03	2422
I	1.61	0.12	0.9975
Au	0.91	0.06	0.1955
V	4.07	0.03	288.4
Xe	2.35	0.02	5.391
Hg	1.23	0.18	0.4128
Cr	5.72	0.05	1.286xx10^{4}
Cs	1.18	0.03	0.3671
Tl	0.88	0.04	0.1845
Mn	5.58	0.03	9168
Ba	2.25	0.03	4.351
Pb	2.13	0.04	3.258
Fe	7.54	0.03	8.380xx10^{5}
La	1.25	0.06	0.4405
Co	4.98	0.03	2323
Ce	1.68	0.02	1.169
Bi	0.76	0.03	0.1388
Ni	6.29	0.03	4.780xx10^{4}
Pr	0.85	0.03	0.1737
Th	0.16	0.04	0.03512
Cu	4.34	0.06	527.0
Zn	4.70	0.04	1226
Nd	1.54	0.03	0.8355
Ga	3.17	0.06	35.97
U	-0.42	0.04	9.306xx10^{-3}
