Ga	31	37.850	16.300	2.752	21.550	2.873	0.431	0.569	\ldots	1.772
Ge	32	108.757	56.170	3.290	52.587	3.261	0.516	0.484	\ldots	2.395
As	33	6.786	5.330	2.267	1.456	1.703	0.785	0.215	\ldots	1.020
Se	34	61.443	40.260	3.145	21.183	2.866	0.655	0.345	\ldots	2.279
Br	35	5.569	4.640	2.207	0.929	1.508	0.833	0.167	\ldots	1.567
Kr	36	51.952	22.680	2.896	29.272	3.006	0.437	0.563	\ldots	2.461
Rb	37	5.794	2.890	2.001	2.904	2.003	0.499	0.501	\ldots	1.739
Sr	38	23.090	2.550	1.947	20.540	2.853	0.11	0.89	\ldots	2.836
Y	39	4.654	1.310	1.657	3.344	2.064	0.281	0.719	1.111	2.170
Zr	40	10.703	2.040	1.850	8.663	2.478	0.191	0.809	1.798	2.414
Nb	41	0.339	0.110	0.581	0.229	0.900	0.324	0.676	0.549	1.315
Mo	42	1.968	0.635	1.343	1.333	1.665	0.323	0.677	1.365	1.467
Tc	43	0.178	0.172	0.776	0.006	-0.668	0.965	0.035	\ldots	\ldots
Ru	44	1.543	0.941	1.514	0.602	1.319	0.61	0.39	1.585	1.319
Rh	45	0.344	0.289	1.001	0.055	0.284	0.839	0.161	1.013	0.209
Pd	46	1.387	0.770	1.426	0.617	1.330	0.555	0.445	1.407	1.225
Ag	47	0.552	0.435	1.178	0.117	0.608	0.788	0.212	1.130	0.524
Cd	48	1.526	0.761	1.421	0.765	1.424	0.499	0.501	1.407	1.461
In	49	0.178	0.121	0.623	0.057	0.299	0.678	0.322	0.589	0.348
Sn	50	3.378	0.761	1.421	2.617	1.958	0.225	0.775	1.530	1.932
Sb	51	0.292	0.245	0.929	0.047	0.213	0.839	0.161	0.907	0.420
Te	52	4.920	3.952	2.137	0.968	1.526	0.803	0.197	1.905	1.452
I	53	0.901	0.851	1.470	0.050	0.241	0.944	0.056	1.471	0.217
Xe	54	4.793	3.816	2.122	0.977	1.530	0.796	0.204	2.079	1.442
Cs	55	0.371	0.315	1.038	0.056	0.285	0.85	0.15	1.042	0.272
Ba	56	5.470	0.806	1.446	4.664	2.209	0.147	0.853	1.470	2.055
La	57	0.447	0.110	0.581	0.337	1.067	0.246	0.754	0.619	1.053
Ce	58	1.098	0.204	0.850	0.894	1.491	0.186	0.814	0.967	1.476
Pr	59	0.161	0.082	0.454	0.079	0.440	0.508	0.492	0.473	0.450
Nd	60	0.836	0.352	1.086	0.484	1.225	0.421	0.579	1.024	1.201
Sm	62	0.260	0.174	0.781	0.086	0.474	0.669	0.331	0.781	0.422
Eu	63	0.093	0.090	0.494	0.003	-1.062	0.973	0.027	0.502	-0.710
Gd	64	0.337	0.276	0.981	0.061	0.326	0.819	0.181	0.985	0.245
Tb	65	0.064	0.060	0.318	0.004	-0.827	0.933	0.067	0.287	-0.821
Dy	66	0.410	0.360	1.096	0.050	0.235	0.879	0.121	1.065	0.305
Ho	67	0.089	0.083	0.459	0.006	-0.704	0.936	0.064	0.454	-0.618
Er	68	0.251	0.209	0.860	0.042	0.165	0.832	0.168	0.857	0.168
Tm	69	0.037	0.031	0.031	0.006	-0.654	0.829	0.171	0.056	-0.758
Yb	70	0.239	0.163	0.751	0.076	0.420	0.682	0.318	0.762	0.406
Lu	71	0.039	0.031	0.030	0.008	-0.562	0.796	0.204	0.008	-0.659
Hf	72	0.157	0.080	0.443	0.077	0.425	0.51	0.49	0.373	0.472
Ta	73	0.023	0.013	-0.336	0.009	-0.492	0.588	0.412	-0.374	-0.528
W	74	0.135	0.063	0.336	0.073	0.402	0.462	0.538	0.308	0.410
Re	75	0.052	0.047	0.215	0.005	-0.797	0.911	0.089	0.235	-0.775
Os	76	0.711	0.651	1.353	0.060	0.318	0.916	0.084	1.324	0.340
Ir	77	0.658	0.650	1.353	0.008	-0.568	0.988	0.012	1.354	-0.502
Pt	78	1.369	1.299	1.654	0.070	0.384	0.949	0.051	1.644	0.376
Au	79	0.186	0.176	0.785	0.010	-0.443	0.944	0.056	0.786	-0.423
Hg	80	0.347	0.146	0.703	0.201	0.843	0.42	0.58	0.661	0.779
Tl	81	0.154	0.053	0.262	0.102	0.547	0.341	0.659	0.188	0.685
Pb	82	2.905	0.622	1.334	2.283	1.899	0.214	0.786	-	1.699
Bi	83	0.144	0.093	0.508	0.051	0.246	0.647	0.353	0.677	-0.611
Th	90	0.042	0.042	0.163	0.000	-	1.000	0.000	-	-
U	92	0.027	0.027	-0.033	0.000	-	1.000	0.000	-	-
